,channel,type,term,value
0,0,S,1,0.0
1,0,S,2,-0.0009107187752870665
2,0,S,3,-1.948916354257372e-05
3,0,S,4,-9.602859709857857e-06
4,0,S,5,-3.577670479801818e-05
5,0,S,6,-3.753322321274648e-05
6,0,S,7,7.363905118791492e-06
7,0,S,8,-0.0017634129090462528
8,0,S,9,-0.00015157502174726673
9,0,S,10,0.0003421401762340916
10,0,S,11,-5.329042772288655e-05
11,0,S,12,-5.514709722373554e-05
12,0,S,13,3.151506516536481e-05
13,0,S,14,2.114621215038378e-06
14,0,T,4,8.815367152265821e-05
15,0,T,7,0.00025261778936494506
16,0,T,8,-3.354994303370543e-05
17,0,T,11,3.857951438062065e-05
18,0,T,12,4.4473247923017395e-05
19,0,T,13,-6.622151106148606e-06
20,2,S,1,0.0
21,2,S,2,0.00016391552730641304
22,2,S,3,-0.0001466721400039822
23,2,S,4,-2.701717462428096e-06
24,2,S,5,-0.0001358814013003533
25,2,S,6,-6.491485909544641e-06
26,2,S,7,-0.00013103531558493153
27,2,S,8,0.0005085584140236947
28,2,S,9,-0.0006690682156139174
29,2,S,10,-0.0004908997864983929
30,2,S,11,-3.538307720183487e-05
31,2,S,12,-2.3676102902683355e-05
32,2,S,13,-0.00010231410168459045
33,2,S,14,7.598044954485619e-05
34,2,T,4,7.867610117096538e-05
35,2,T,7,-0.00022594010230906492
36,2,T,8,-0.00010614699419035372
37,2,T,11,8.297706529492053e-05
38,2,T,12,0.00010806686702227191
39,2,T,13,-3.5183437245479886e-05
40,,,,maxPoly14C:\Users\castrolinares\Data analysis\SPIT_G\Raquel_6Feb2024\example data\test_batch_correction\output\Run00001+maxPoly14C:\Users\castrolinares\Data analysis\SPIT_G\Raquel_6Feb2024\example data\test_batch_correction\output\Run00002+maxPoly14C:\Users\castrolinares\Data analysis\SPIT_G\Raquel_6Feb2024\example data\test_batch_correction\output\Run00003+maxPoly14C:\Users\castrolinares\Data analysis\SPIT_G\Raquel_6Feb2024\example data\test_batch_correction\output\Run00005+maxPoly14C:\Users\castrolinares\Data analysis\SPIT_G\Raquel_6Feb2024\example data\test_batch_correction\output\Run00006+maxPoly14C:\Users\castrolinares\Data analysis\SPIT_G\Raquel_6Feb2024\example data\test_batch_correction\output\Run00007+maxPoly14C:\Users\castrolinares\Data analysis\SPIT_G\Raquel_6Feb2024\example data\test_batch_correction\output\Run00008
